Student Tag,Enrollment Term,Subject,Entry Teacher Tag,Exit Teacher Tag,Q1 (Before),Q1 (After),Q1 (Change),Q2 (Before),Q2 (After),Q2 (Change),Q3 (Before),Q3 (After),Q3 (Change),Q4 (Before),Q4 (After),Q4 (Change),Q5 (Before),Q5 (After),Q5 (Change),Q6 (Before),Q6 (After),Q6( Change),Q7 (Before),Q7 (After),Q7 (Change),Q8 (Before),Q8 (After),Q8 (Change),Q9 (Before),Q9 (After),Q9 (Change),Q10 (Before),Q10 (After),Q10 (Change),Q11 (Before),Q11 (After),Q11 (Change),Q12 (Before),Q12 (After),Q12 (Change),Q13 (Before),Q13 (After),Q13 (Change),Q14 (Before),Q14 (After),Q14 (Change),Q15 (Before),Q15 (After),Q15 (Change),Q16 (Before),Q16 (After),Q16 (Change),Q17 (Before),Q17 (After),Q17 (Change),Q18 (Assigned Text Read Completely),Q19 (Chinese Translation),Q20 (Time/RJ),Q21 (Time/reading),Q22 (% Lecture),Q23 (% tutorial participation),Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Sex,"Phy (1: normal, 2:mainland)","Chem(1: normal, 2:mainland)","Bio(1: normal, 2:mainland)",Com Sci,Inter Sci,Eng Lit,Chin Lit,"History(1: normal, 2:mainland)",Chin History,Ethics & RS,Music,Visual Art,Econ,"Geog(1: normal, 2:mainland)",Politics_Mainland,Language,English Proficiency,Year of Study,Faculty,Term GPA,Grade,cGPA (After),cGPA (Before),First GEF?,"ScienceSubject (Phy,Chem,Bio,InterSci,CombSci)","HumanitiesSub (ChinHist, Hist, ChinLit, EngLit, RS, Politics)",Micro-modules,Micro-modules_No_a,Micro-modules_No_b,Micro-modules_No_c,Micro-modules_No_d,Micro-modules_No_e,Micro-modules_No_f,Micro-modules_No_g
571,1617T1,UNFN,2,2,4,5,1,5,6,1,5,5,0,5,5,0,5,5,0,5,5,0,5,6,1,5,6,1,4,5,1,5,5,0,5,5,0,5,5,0,4,4,0,5,6,1,5,4,-1,5,6,1,5,5,0,8 to 9,0 to 1,3 to <6,1 to <2,41-60%,81-100%,3,4,4,4,5,5,4,4,4,5,5,4,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,SLAW,3.26,A-,3.26,3.31,No,3,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
572,1617T1,UNFN,12,12,5,5,0,5,5,0,5,5,0,5,5,0,5,6,1,6,5,-1,5,5,0,5,5,0,4,5,1,4,5,1,4,5,1,5,5,0,5,5,0,5,5,0,4,5,1,5,5,0,4,5,1,8 to 9,0 to 1,1 to <3,1 to <2,21-40%,81-100%,3,4,4,3,4,3,4,4,4,4,4,4,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,2,BAF,3.03,B,3.06,3.08,No,2,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
573,1617T1,UNFN,10,10,4,5,1,4,5,1,4,4,0,4,4,0,3,3,0,3,3,0,3,5,2,4,5,1,3,5,2,3,5,2,4,5,1,3,5,2,3,5,2,4,5,1,4,5,1,4,5,1,4,5,1,2 to 3,0 to 1,6 to <10,2 to <3,1-20%,81-100%,4,4,4,1,3,3,3,4,4,4,4,2,F,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,ART,3.03,B-,3.08,3.11,No,2,0,0,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1
574,1617T1,UNFN,2,2,5,6,1,5,6,1,5,5,0,5,6,1,4,4,0,5,5,0,5,5,0,5,6,1,4,5,1,5,5,0,4,5,1,4,5,1,4,4,0,4,4,0,4,4,0,5,5,0,4,5,1,4 to 5,0 to 1,3 to <6,1 to <2,81-100%,81-100%,4,2,4,2,4,3,4,4,4,4,4,3,M,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,2,BASCI,3.78,A,3.69,3.64,No,2,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
578,1617T1,UNFN,7,7,5,5,0,5,5,0,5,5,0,5,5,0,4,3,-1,4,4,0,4,3,-1,4,4,0,3,4,1,3,4,1,3,4,1,3,4,1,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4 to 5,4 to 5,6 to <10,1 to <2,21-40%,61-80%,4,4,4,3,4,4,4,4,4,4,4,4,F,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,2,SSF,3.04,B,3.15,3.22,No,2,0,0,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1
581,1617T1,UNFN,11,11,5,6,1,6,6,0,5,6,1,6,6,0,6,6,0,5,5,0,4,5,1,5,6,1,4,5,1,4,5,1,5,6,1,5,6,1,4,5,1,5,6,1,6,6,0,6,6,0,6,6,0,10 to 11,0 to 1,10 to <15,3 to <4,81-100%,81-100%,5,4,4,4,4,4,4,4,4,4,4,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,1,,Cantonese,DSE 5 or above,2,ART,3.97,A,3.85,3.78,No,0,2,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
582,1617T1,UNFN,7,7,4,5,1,4,5,1,4,4,0,4,5,1,4,3,-1,4,4,0,5,4,-1,4,4,0,3,5,2,4,5,1,3,5,2,3,5,2,3,5,2,4,5,1,4,5,1,4,5,1,4,5,1,4 to 5,0 to 1,3 to <6,1 to <2,81-100%,81-100%,4,4,5,3,4,4,4,4,4,4,4,3,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,SSF,3.33,B+,3.04,2.88,No,2,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
584,1617T1,UNFN,2,7,5,5,0,5,5,0,5,6,1,5,6,1,2,3,1,3,5,2,3,4,1,3,4,1,1,5,4,1,5,4,4,5,1,4,5,1,4,5,1,5,6,1,5,5,0,5,4,-1,5,5,0,8 to 9,8 to 9,3 to <6,1 to <2,61-80%,81-100%,3,4,4,3,4,3,4,4,4,4,4,2,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,1,BLANK,BLANK,,Cantonese,DSE 4 or below,2,ART,3.35,A-,3.36,3.37,No,0,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
585,1617T1,UNFN,2,2,4,6,2,6,6,0,4,5,1,4,5,1,4,3,-1,4,4,0,5,4,-1,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,4,-1,5,6,1,5,6,1,8 to 9,10 to 11,3 to <6,2 to <3,81-100%,81-100%,4,4,4,4,4,4,4,4,4,4,4,2,M,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,SCF,2.62,B+,2.77,2.86,No,2,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
587,1617T1,UNFN,13,13,4,5,1,5,6,1,4,5,1,4,5,1,3,5,2,3,4,1,4,5,1,5,5,0,3,5,2,3,5,2,3,5,2,3,5,2,3,5,2,5,5,0,3,5,2,5,5,0,4,5,1,10 to 11,10 to 11,10 to <15,4 to <5,81-100%,81-100%,4,5,5,3,5,4,4,4,4,4,5,3,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,2,SSF,3.25,B+,3.25,3.26,No,0,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
588,1617T1,UNFN,1,1,5,5,0,6,5,-1,4,4,0,4,4,0,5,4,-1,5,5,0,6,6,0,6,5,-1,4,4,0,4,5,1,4,5,1,4,4,0,4,5,1,5,5,0,5,5,0,5,6,1,5,6,1,6 to 7,0 to 1,1 to <3,2 to <3,41-60%,81-100%,5,4,5,5,5,5,5,5,5,5,5,5,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,BASSF,2.73,B,3.10,3.27,No,3,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
589,1617T1,UNFN,14,14,5,4,-1,4,4,0,4,4,0,4,4,0,4,4,0,4,2,-2,5,1,-4,3,4,1,4,4,0,4,4,0,3,4,1,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,10 to 11,8 to 9,3 to <6,2 to <3,81-100%,81-100%,3,3,4,3,4,4,4,4,4,3,3,4,F,BLANK,BLANK,BLANK,,,,,2,,,,,,2,1,Putonghau,Natioanl Exam <=139,2,SLAW,2.80,B,2.85,2.85,No,2,6,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
590,1617T1,UNFN,2,2,4,6,2,6,6,0,5,5,0,5,5,0,5,5,0,2,3,1,1,3,2,2,5,3,2,4,2,2,4,2,2,5,3,3,5,2,5,5,0,5,5,0,4,4,0,5,4,-1,5,5,0,2 to 3,0 to 1,less than 1,1 to <2,1-20%,81-100%,4,4,5,4,5,4,4,4,4,5,4,3,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,1,BLANK,BLANK,1,,Cantonese,DSE 5 or above,2,SLAW,3.12,B,3.01,2.87,No,0,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
592,1617T1,UNFN,7,7,4,4,0,5,5,0,5,4,-1,4,4,0,4,5,1,4,5,1,5,6,1,5,5,0,4,5,1,4,5,1,4,5,1,3,5,2,4,4,0,4,6,2,3,4,1,4,5,1,5,6,1,10 to 11,0 to 1,3 to <6,2 to <3,81-100%,81-100%,3,4,4,3,3,3,4,4,3,4,4,2,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,MED,3.35,B,3.33,3.32,No,3,0,0,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
593,1617T1,UNFN,13,13,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,4,4,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,6 to 7,6 to 7,3 to <6,1 to <2,0,81-100%,3,3,4,3,4,3,4,4,4,4,4,3,M,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,2,BAF,2.89,B-,2.84,2.81,No,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
595,1617T1,UNFN,13,13,5,5,0,6,6,0,6,5,-1,6,5,-1,4,3,-1,5,4,-1,5,5,0,6,4,-2,4,5,1,4,5,1,4,5,1,4,4,0,5,5,0,6,6,0,5,6,1,6,5,-1,5,6,1,4 to 5,2 to 3,6 to <10,less than 1,21-40%,81-100%,5,5,5,4,5,5,5,5,5,5,5,4,M,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,2,ENF,2.02,B-,2.26,2.35,No,2,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
596,1617T1,UNFN,2,2,4,4,0,4,5,1,5,5,0,5,5,0,3,4,1,3,3,0,3,4,1,4,4,0,3,3,0,3,3,0,3,4,1,4,4,0,4,4,0,4,5,1,4,5,1,5,5,0,5,6,1,8 to 9,8 to 9,3 to <6,2 to <3,81-100%,81-100%,4,4,4,3,4,4,4,4,4,4,4,2,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,1,1,,Cantonese,DSE 5 or above,2,ART,3.15,B,3.12,3.10,No,0,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
597,1617T1,UNFN,13,13,5,6,1,6,6,0,4,6,2,4,6,2,3,4,1,5,4,-1,6,6,0,6,6,0,5,5,0,5,5,0,5,5,0,4,6,2,6,5,-1,6,6,0,6,5,-1,5,5,0,6,3,-3,4 to 5,10 to 11,10 to <15,2 to <3,81-100%,81-100%,3,4,4,5,5,5,4,4,4,5,4,3,M,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,2,BAF,3.01,C+,2.83,2.73,No,1,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
598,1617T1,UNFN,7,7,4,5,1,4,5,1,4,5,1,3,4,1,2,4,2,3,5,2,3,5,2,4,5,1,3,5,2,3,4,1,4,5,1,4,5,1,4,5,1,4,5,1,4,4,0,4,5,1,4,5,1,10 to 11,8 to 9,3 to <6,2 to <3,81-100%,61-80%,3,3,4,4,4,4,4,4,4,4,4,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,1,BLANK,,BLANK,DSE 4 or below,2,ART,3.23,A-,3.05,2.96,No,0,1,0,1,BLANK,BLANK,BLANK,1,BLANK,BLANK
600,1617T1,UNFN,10,10,3,5,2,6,5,-1,2,5,3,3,4,1,4,3,-1,3,3,0,2,3,1,2,3,1,1,4,3,1,4,3,1,4,3,2,5,3,3,4,1,4,4,0,4,3,-1,4,5,1,4,4,0,8 to 9,4 to 5,3 to <6,2 to <3,61-80%,81-100%,3,2,3,2,4,4,4,4,5,4,4,5,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,2,ART,3.33,B,3.07,2.94,No,0,1,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
601,1617T1,UNFN,12,12,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,3,5,2,3,3,0,5,6,1,2,4,2,3,4,1,3,4,1,3,5,2,3,5,2,5,5,0,3,5,2,3,5,2,5,5,0,4 to 5,4 to 5,6 to <10,1 to <2,41-60%,41-60%,4,4,4,4,3,3,3,2,4,4,3,3,F,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,1,1,BLANK,,Others,Others,2,CCST,3.02,B-,2.50,2.25,No,0,1,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
602,1617T1,UNFN,7,7,5,5,0,5,5,0,5,5,0,5,5,0,4,5,1,4,4,0,4,4,0,4,4,0,4,4,0,5,5,0,4,5,1,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,8 to 9,4 to 5,6 to <10,2 to <3,41-60%,81-100%,3,3,4,3,4,3,4,4,4,4,4,3,M,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,2,SSF,3.31,A-,3.29,3.28,No,1,0,0,BLANK,BLANK,BLANK,BLANK,1,1,BLANK
603,1617T1,UNFN,14,14,5,4,-1,5,6,1,4,5,1,3,4,1,3,3,0,4,4,0,4,4,0,5,5,0,3,5,2,3,5,2,4,5,1,5,6,1,5,6,1,6,6,0,5,6,1,6,6,0,6,6,0,10 to 11,8 to 9,more than 15,more than 5,81-100%,81-100%,4,5,5,4,4,4,4,4,5,5,5,4,F,BLANK,BLANK,BLANK,,,,,2,,,,,,2,1,Putonghau,Natioanl Exam >=140,2,BAF,3.39,A-,3.40,3.40,No,2,6,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
604,1617T1,UNFN,7,7,5,4,-1,5,5,0,4,3,-1,4,4,0,2,3,1,2,4,2,4,5,1,4,5,1,2,4,2,2,4,2,3,4,1,4,4,0,3,4,1,5,4,-1,5,4,-1,5,4,-1,3,4,1,8 to 9,8 to 9,1 to <3,1 to <2,81-100%,61-80%,4,4,4,2,4,3,4,4,4,4,4,3,M,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 4 or below,2,SSF,3.33,B+,3.27,3.23,No,0,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
605,1617T1,UNFN,2,2,5,5,0,5,5,0,4,4,0,5,4,-1,4,4,0,5,5,0,5,5,0,4,5,1,5,4,-1,5,5,0,5,5,0,4,4,0,5,5,0,5,5,0,5,4,-1,4,5,1,4,5,1,8 to 9,2 to 3,6 to <10,4 to <5,81-100%,81-100%,4,3,4,4,3,4,4,4,4,4,4,3,M,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,2,BASCI,3.85,A,3.79,3.76,No,2,0,0,BLANK,BLANK,BLANK,1,BLANK,1,BLANK
607,1617T1,UNFN,7,7,4,5,1,5,5,0,4,4,0,3,4,1,3,4,1,4,4,0,5,5,0,5,5,0,3,4,1,5,5,0,4,5,1,4,5,1,4,5,1,5,5,0,4,5,1,5,5,0,4,5,1,10 to 11,0 to 1,10 to <15,4 to <5,81-100%,81-100%,3,3,4,3,4,4,4,4,4,4,4,3,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,,Cantonese,DSE 5 or above,2,SSF,3.55,A-,3.52,3.51,No,2,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
608,1617T1,UNFN,2,2,4,4,0,4,5,1,5,5,0,5,5,0,5,5,0,4,4,0,4,5,1,4,5,1,3,5,2,4,5,1,4,5,1,4,5,1,4,5,1,5,6,1,5,6,1,5,5,0,5,5,0,10 to 11,0 to 1,3 to <6,1 to <2,41-60%,61-80%,5,5,4,3,3,4,3,4,4,4,4,2,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,SSF,3.12,B,3.19,3.21,No,3,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
609,1617T1,UNFN,10,10,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,4,0,10 to 11,10 to 11,3 to <6,2 to <3,41-60%,81-100%,4,4,4,4,4,4,4,4,4,4,3,3,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,2,MED,3.57,A-,3.40,3.30,No,2,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
611,1617T1,UNFN,13,13,5,5,0,5,6,1,4,5,1,5,5,0,4,5,1,3,6,3,3,5,2,4,5,1,3,5,2,2,5,3,2,6,4,2,5,3,5,6,1,5,6,1,5,5,0,6,5,-1,6,5,-1,10 to 11,0 to 1,10 to <15,1 to <2,41-60%,81-100%,4,4,4,3,5,5,5,5,5,4,4,4,M,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,2,SSF,3.60,B+,3.65,3.67,No,1,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
612,1617T1,UNFN,2,2,4,5,1,5,5,0,5,5,0,4,5,1,4,4,0,5,6,1,5,6,1,5,6,1,5,6,1,5,6,1,5,6,1,5,6,1,4,6,2,5,5,0,4,5,1,5,5,0,4,4,0,8 to 9,0 to 1,3 to <6,1 to <2,41-60%,81-100%,4,4,4,3,4,4,4,4,4,4,4,3,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,BASCI,3.59,A-,3.22,3.03,No,3,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
613,1617T1,UNFN,10,10,4,5,1,5,5,0,5,5,0,5,5,0,6,6,0,6,6,0,6,6,0,5,6,1,5,6,1,6,5,-1,6,6,0,5,6,1,4,6,2,4,6,2,4,6,2,5,6,1,5,6,1,8 to 9,0 to 1,3 to <6,2 to <3,41-60%,61-80%,4,4,4,4,4,4,4,4,4,4,4,4,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,MED,3.19,B-,3.12,3.08,No,3,0,0,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK
614,1617T1,UNFN,2,2,4,4,0,4,4,0,2,4,2,4,4,0,3,3,0,4,4,0,5,4,-1,4,5,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,0 to 1,0 to 1,3 to <6,less than 1,81-100%,81-100%,3,4,4,4,4,4,4,4,4,4,4,4,F,1,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,2,ART,3.26,B+,2.88,2.69,No,2,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
615,1617T1,UNFN,2,2,5,4,-1,5,4,-1,4,4,0,5,4,-1,5,4,-1,4,5,1,4,5,1,5,5,0,4,5,1,4,5,1,5,4,-1,5,4,-1,5,4,-1,4,5,1,5,4,-1,5,4,-1,5,5,0,8 to 9,6 to 7,3 to <6,1 to <2,41-60%,81-100%,4,4,4,4,4,4,4,4,3,4,4,4,M,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 4 or below,2,BAF,2.83,B+,3.02,3.11,No,2,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
616,1617T1,UNFN,7,7,5,5,0,5,5,0,4,5,1,4,4,0,4,4,0,4,4,0,4,4,0,5,5,0,3,4,1,3,4,1,3,4,1,4,5,1,4,4,0,5,5,0,5,5,0,5,5,0,5,5,0,6 to 7,6 to 7,3 to <6,3 to <4,41-60%,61-80%,4,4,4,3,4,3,3,4,4,5,5,3,M,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,1,,Cantonese,DSE 5 or above,2,BAF,3.19,B,3.16,3.14,No,0,0,0,1,1,BLANK,BLANK,BLANK,BLANK,BLANK
617,1617T1,UNFN,2,2,4,4,0,5,4,-1,4,4,0,4,4,0,5,4,-1,4,4,0,5,4,-1,5,4,-1,4,4,0,3,4,1,3,4,1,3,4,1,2,4,2,5,5,0,3,4,1,4,3,-1,3,2,-1,6 to 7,0 to 1,6 to <10,3 to <4,41-60%,61-80%,4,4,4,4,4,4,4,4,4,4,4,3,F,1,1,1,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,SLAW,3.10,B+,3.19,3.24,No,4,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
618,1617T1,UNFN,12,12,4,4,0,4,5,1,5,4,-1,5,4,-1,5,5,0,3,3,0,3,3,0,5,4,-1,3,4,1,4,5,1,4,5,1,3,5,2,5,4,-1,5,4,-1,5,5,0,5,5,0,5,5,0,8 to 9,0 to 1,6 to <10,3 to <4,1-20%,81-100%,3,5,4,4,4,4,4,3,4,4,4,3,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,2,BAF,3.00,B,2.97,2.95,No,2,0,0,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK
619,1617T1,UNFN,2,2,5,5,0,6,6,0,5,5,0,5,6,1,5,5,0,6,6,0,6,5,-1,6,5,-1,4,5,1,4,6,2,5,6,1,5,6,1,4,4,0,5,4,-1,4,5,1,5,5,0,5,5,0,8 to 9,8 to 9,1 to <3,less than 1,81-100%,81-100%,4,4,4,4,5,4,5,4,5,5,5,5,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,2,ENF,3.65,A-,3.55,3.51,No,3,0,0,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK
622,1617T1,UNFN,7,7,3,5,2,5,6,1,4,5,1,3,5,2,3,4,1,3,4,1,4,4,0,5,5,0,2,5,3,2,5,3,3,5,2,4,5,1,3,6,3,5,5,0,4,5,1,4,6,2,5,5,0,10 to 11,8 to 9,6 to <10,3 to <4,81-100%,81-100%,4,4,4,4,4,4,4,4,4,4,4,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,ART,3.62,A-,3.37,3.25,No,0,2,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
623,1617T1,UNFN,7,7,4,5,1,5,6,1,3,4,1,3,4,1,3,4,1,4,5,1,4,4,0,4,5,1,3,5,2,3,5,2,3,6,3,3,6,3,4,5,1,4,5,1,3,6,3,5,5,0,4,5,1,10 to 11,10 to 11,10 to <15,more than 5,81-100%,81-100%,4,3,4,4,4,4,5,4,4,5,5,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 4 or below,2,ART,3.48,A,3.14,3.00,No,0,1,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
624,1617T1,UNFN,2,2,4,5,1,5,6,1,4,4,0,4,4,0,4,4,0,5,5,0,5,5,0,5,5,0,4,5,1,4,4,0,5,5,0,5,5,0,4,5,1,5,5,0,4,5,1,5,6,1,5,5,0,8 to 9,4 to 5,6 to <10,3 to <4,81-100%,81-100%,4,4,5,3,4,3,4,4,4,4,4,3,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,2,BAF,3.17,B,3.13,3.10,No,2,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
625,1617T1,UNFN,10,10,3,4,1,5,5,0,4,4,0,3,3,0,3,3,0,4,4,0,4,4,0,4,3,-1,2,4,2,4,5,1,4,5,1,4,4,0,2,4,2,4,5,1,3,4,1,4,5,1,3,4,1,2 to 3,6 to 7,3 to <6,1 to <2,1-20%,81-100%,4,4,4,4,3,4,3,3,3,4,3,3,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,2,MED,3.27,A-,3.28,3.28,No,3,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
